case,stem,dice,iou,precision,recall
038,038_VL1,0.0001128700979588757,5.6438234073942125e-05,5.6438234073942125e-05,1.0
039,039_VL1,0.0,0.0,0.0,0.0
040,040_VL1,0.006392083825013862,0.003206289347645631,0.0032070386769279453,0.9320768940821711
041,041_VL1,0.0,0.0,0.0,0.0
042,042_VL1,0.0,0.0,0.0,0.0
044,044_VL1,0.0,0.0,0.0,0.0
044,044_VL2,0.0,0.0,0.0,0.0
045,045_VL1,0.0002627791183249529,0.0001314068246472378,0.00013142379126801861,0.5044303797468355
046,046_VL1,0.0026504096815770897,0.001326963339028975,0.0013270704732166489,0.9426509684770225
047,047_VL1,0.0,0.0,0.0,0.0
048,048_VL1,3.4656395377486666e-05,1.732849796038164e-05,1.7328588669485693e-05,0.768
049,049_VL1,0.01876684799961399,0.00947230666954352,0.009500968246070956,0.7584515303401941
050,050_VL1,0.00034894559629693536,0.00017450324421777234,0.0001745107816810344,0.8015943312666076
051,051_VL1,0.0011601667019672472,0.0005804200429871376,0.000581089976432389,0.3348620096634182
052,052_VL1,0.0,0.0,0.0,0.0
055,055_VL1,0.000533779162740898,0.00026696083043472604,0.000266971837057823,0.8662258392675484
056,056_VL1,0.0,0.0,0.0,0.0
057,057_VL1,0.0005243533200625677,0.00026224541465820744,0.0002622532023815676,0.8982826948480845
058,058_VL1,0.0,0.0,0.0,0.0
059,059_VL1,0.0,0.0,0.0,0.0
059,059_VL2,0.0,0.0,0.0,0.0
060,060_VL1,0.0002398979252231006,0.00011996335209118504,0.00011996360984467936,0.9824046920821115
061,061_VL1,0.0,0.0,0.0,0.0
062,062_VL1,0.0,0.0,0.0,0.0
062,062_VL2,0.0,0.0,0.0,0.0
063,063_VL1,3.45377201893273e-05,1.7269158313342514e-05,1.7269158313342514e-05,1.0
064,064_VL1,0.0010453912639179072,0.0005229689855633576,0.0005232463104972366,0.49665738161559886
065,065_VL1,0.0,0.0,0.0,0.0
066,066_VL1,0.0,0.0,0.0,0.0
067,067_VL1,0.0,0.0,0.0,0.0
068,068_VL1,0.00016238810052175348,8.120064326998762e-05,8.120064326998762e-05,1.0
069,069_VL1,5.807353492224369e-06,2.9036851774753123e-06,2.9037458044329964e-06,0.12209302325581395
070,070_VL1,0.0003022351292683224,0.00015114040460402278,0.00015114040460402278,1.0
071,071_VL1,0.0,0.0,0.0,0.0
072,072_VL1,0.01611684344494896,0.008123887433439041,0.008132841238088275,0.8806542740557318
073,073_VL1,0.0,0.0,0.0,0.0
074,074_VL1,0.0,0.0,0.0,0.0
075,075_VL1,0.0,0.0,0.0,0.0
076,076_VL1,0.001533075182290704,0.0007671256217715707,0.0007671492706943934,0.9613673612737064
077,077_VL1,3.757275696008485e-05,1.8786731414689183e-05,1.8786731414689183e-05,1.0
078,078_VL1,4.773607959195671e-05,2.3868609492899604e-05,2.387242223890017e-05,0.13001605136436598
079,079_VL1,3.5415503688292476e-05,1.7708065414174234e-05,1.7710710639361008e-05,0.10599478714161599
080,080_VL1,0.0,0.0,0.0,0.0
081,081_VL1,0.007878808960623348,0.003954984765014537,0.003959000911934919,0.7958645854449625
082,082_VL1,0.002717905739017604,0.0013608021354756404,0.0013642130350144588,0.3524416135881104
083,083_VL1,2.115384256439323e-05,1.057703315464369e-05,1.057703315464369e-05,1.0
084,084_VL1,1.1339829165473622e-06,5.669917797531771e-07,5.669917797531771e-07,1.0
085,085_VL1,0.006447400776429845,0.00323412624223756,0.0032440812223094497,0.513126491646778
086,086_VL1,0.0006391208900061357,0.0003196625965246641,0.00031981961435502296,0.39434330299089726
087,087_VL1,0.00013954758404890606,6.977866074621568e-05,6.977908210985106e-05,0.9203539823008849
088,088_VL1,0.0,0.0,0.0,0.0
089,089_VL1,0.003997822973295177,0.0020029151367211605,0.002005096962728318,0.6479713603818615
090,090_VL1,0.0,0.0,0.0,0.0
091,091_VL1,0.0018429753800312358,0.0009223376127718255,0.0009228001892430836,0.6478853449487143
092,092_VL1,0.0013080938835775375,0.0006544749991604468,0.0006567425899987443,0.1593458971914644
093,093_VL1,0.00016297292627892587,8.149310372425568e-05,8.149310372425568e-05,1.0
094,094_VL1,0.0,0.0,0.0,0.0
095,095_VL1,0.0014464161637758077,0.0007237314903508424,0.0007261463837891217,0.17872735717603344
096,096_VL1,0.0010927278271503256,0.0005466625902873974,0.0005466796133484189,0.9461077844311377
097,097_VL1,0.0024536734138461574,0.0012283436840433803,0.00122876245286213,0.7828088070655554
098,098_VL1,4.5502997720636874e-05,2.275201650279597e-05,2.275201650279597e-05,1.0
099,099_VL1,0.0058674650242610555,0.0029423646228872347,0.0029553831889371183,0.4004634046613057
100,100_VL1,0.0001894654751121819,9.474171269789558e-05,9.474220493227919e-05,0.9480122324159022
